symptom,disease
Bloody diarrhea,Acorn poisoning
Oral clefts,Esmolol -- teratogenic agent
Limb reduction defects,Esmolol -- teratogenic agent
Bradycardia,Esmolol -- teratogenic agent
Retarded fetal growth,Esmolol -- teratogenic agent
Heart defect,Esmolol -- teratogenic agent
Hypospadias,Esmolol -- teratogenic agent
Microcephaly,Winship viljoen leary syndrome
Small head,Winship viljoen leary syndrome
Learning difficulties,Winship viljoen leary syndrome
Mental retardation,Winship viljoen leary syndrome
Short statures,"Mental retardation, x-linked -- hypogonadism -- ichthyosis -- obesity -- short stature"
Dry rough skin,"Mental retardation, x-linked -- hypogonadism -- ichthyosis -- obesity -- short stature"
Delayed puberty,"Mental retardation, x-linked -- hypogonadism -- ichthyosis -- obesity -- short stature"
Hypogonadism,"Mental retardation, x-linked -- hypogonadism -- ichthyosis -- obesity -- short stature"
Mental retardation,"Mental retardation, x-linked -- hypogonadism -- ichthyosis -- obesity -- short stature"
Absence of menstruation,Mrkh syndrome
Underdeveloped or absent upper portion of vagina,Mrkh syndrome
Abnormally developed mullerian duct derivatives,Mrkh syndrome
Difficulty engaging in sexual intercourse,Mrkh syndrome
Underdeveloped or absent uterus,Mrkh syndrome
Loss of motor skills,Mps 3 d
Hirsuitism,Mps 3 d
Behavioral disorders,Mps 3 d
Coarse face,Mps 3 d
Short statures,Mrxs9
Strabismus,Mrxs9
Small head,Mrxs9
Learning difficulties in female carriers,Mrxs9
Mental retardation,Mrxs9
Enlarged heart,Iodine -- teratogenic agent
Hypothyroidism,Iodine -- teratogenic agent
Retarded fetal growth,Iodine -- teratogenic agent
Goiters,Iodine -- teratogenic agent
Hand abnormalities,Muenke syndrome
Flattened cheekbones,Muenke syndrome
Feet abnormalities,Muenke syndrome
Abnormal head shape,Muenke syndrome
Wide set eyes,Muenke syndrome
Limb defects,Aminopterin and methotrexate -- teratogenic agent
Low birth weight,Aminopterin and methotrexate -- teratogenic agent
Pregnancy loss,Aminopterin and methotrexate -- teratogenic agent
Central nervous system defecs,Aminopterin and methotrexate -- teratogenic agent
Weak face muscles,Aminopterin and methotrexate -- teratogenic agent
Swelling of the brain (hydrocephalus),Aminopterin and methotrexate -- teratogenic agent
Muscle tremors in legs,Primary orthostatic tremor
Discomfort while standing,Primary orthostatic tremor
Difficulty standing up,Primary orthostatic tremor
Unsteadiness,Primary orthostatic tremor
Itchy lesions,Erythrokeratodermia symmetrica progressiva
Symmetrical skin redness,Erythrokeratodermia symmetrica progressiva
Orange margin around lesions,Erythrokeratodermia symmetrica progressiva
Acanthosis,Erythrokeratodermia symmetrica progressiva
Itching,Erythrokeratodermia symmetrica progressiva
Thickened outer skin layer,Erythrokeratodermia symmetrica progressiva
Itchy skin rash,Sea anemone larvae envenomation
Red scaly skin rash,Sea anemone larvae envenomation
Raised bumpy rash,Sea anemone larvae envenomation
Blistered skin,Sea anemone larvae envenomation
Skin rashes,Sea anemone larvae envenomation
Double outlet right ventricle,Pepcid -- teratogenic agent
Hydrocephaly,Pepcid -- teratogenic agent
Neural tube defect,Pepcid -- teratogenic agent
Underdeveloped hand,Pepcid -- teratogenic agent
Anencephaly,Pepcid -- teratogenic agent
Midline supraumbilical abdominal wall defect,Pentalogy of cantrell
Anterior diaphragmatic pericardium defect,Pentalogy of cantrell
Lower sternum defect,Pentalogy of cantrell
Congenital heart malformations,Pentalogy of cantrell
Small head,Phenylketonuria -- teratogenic agent
Congenital heart defects,Phenylketonuria -- teratogenic agent
Pregnancy loss,Phenylketonuria -- teratogenic agent
Weak face muscles,Phenylketonuria -- teratogenic agent
Mental retardation,Phenylketonuria -- teratogenic agent
Nausea,Chenile plant poisoning
Diarrhea,Chenile plant poisoning
Abdominal pain,Chenile plant poisoning
Skin irritation,Chenile plant poisoning
Narrow trachea,Congenital tracheal stenosis
Congenital,Congenital tracheal stenosis
Underdeveloped trachea,Congenital tracheal stenosis
Cyanotic episodes,Congenital tracheal stenosis
Nausea,Bile duct cancer
Enlarged liver,Bile duct cancer
Abdominal pain,Bile duct cancer
Fever,Bile duct cancer
Bile duct obstruction,Bile duct cysts
Abdominal discomfort,Bile duct cysts
Recurring jaundice,Bile duct cysts
Abdominal pain,Bile duct cysts
Dark urine,Bile duct cysts
Pale stool,Bile duct cysts
Itchy skin,"Bile duct cancer, extrahepatic"
Jaundice,"Bile duct cancer, extrahepatic"
Abdominal pain,"Bile duct cancer, extrahepatic"
Fever,"Bile duct cancer, extrahepatic"
Yellowish skin lesions around eye - fatty deposits,Familial hypercholesterolemia
Tendon lumps - fatty deposits,Familial hypercholesterolemia
Premature cardiovascular disease,Familial hypercholesterolemia
High cholesterol level,Familial hypercholesterolemia
Spastic dysarthria,Bovine spongiform encephalopathy
Athetosis,Bovine spongiform encephalopathy
Muscle wasting,Bovine spongiform encephalopathy
Dementia,Bovine spongiform encephalopathy
Tremors,Bovine spongiform encephalopathy
Local swelling,Abscess
Local pain,Abscess
Soft lump under the skin,Abscess
Local soreness,Abscess
Local redness,Abscess
Fever,Abscess
Short statures,Abidi x-linked mental retardation syndrome
Hearing loss,Abidi x-linked mental retardation syndrome
Small head circumference,Abidi x-linked mental retardation syndrome
Small testicles,Abidi x-linked mental retardation syndrome
Sloping forehead,Abidi x-linked mental retardation syndrome
Cupped ears,Abidi x-linked mental retardation syndrome
Nausea,Trumpet creeper poisoning
Skin redness,Trumpet creeper poisoning
Diarrhea,Trumpet creeper poisoning
Skin swelling,Trumpet creeper poisoning
Abdominal pain,Trumpet creeper poisoning
Skin irritation,Trumpet creeper poisoning
Nausea,Photoallergic eruption
Headaches,Photoallergic eruption
Chills,Photoallergic eruption
Skin rashes,Photoallergic eruption
Mouth blisters,Oral lichenoid lesions
Mouth redness,Oral lichenoid lesions
Mouth sensitivity,Oral lichenoid lesions
Lesions in mouth,Oral lichenoid lesions
Mouth pain,Oral lichenoid lesions
Masculine voice in women,Polypoid degeneration
Rough voice,Polypoid degeneration
Raspy voice,Polypoid degeneration
Low pitched voice,Polypoid degeneration
Husky voice,Polypoid degeneration
Intellectual impairment,Mucopolysaccharidosis vii
Skeletal irregularities,Mucopolysaccharidosis vii
Liver enlargement,Mucopolysaccharidosis vii
Spleen enlargement,Mucopolysaccharidosis vii
Cloudy corneas,Mucopolysaccharidosis vii
Painless soft tissue swelling,Malignant fibrous histiocytoma
Difficulty using part of limb,Malignant fibrous histiocytoma
Pain due to compressed nerves,Malignant fibrous histiocytoma
Pain due to compressed muscles,Malignant fibrous histiocytoma
Limping,Malignant fibrous histiocytoma
Split in the upper palate,Cleft palate
Split in the upper lip,Cleft palate
Difficulty drinking,Cleft palate
Speech defects,Cleft palate
Swallowing difficulties,Cleft palate
Lung toxicity,Chemical poisoning -- denatonium benzoate
Skin irritation,Chemical poisoning -- denatonium benzoate
Eye irritation,Chemical poisoning -- denatonium benzoate
Damage to mucous membranes,Chemical poisoning -- denatonium benzoate
Rashes,Enteroviruses
Flu-like illness,Enteroviruses
Muscle aches,Enteroviruses
Fever,Enteroviruses
Swelling in affected area,Venous thrombosis
Tenderness in affected area,Venous thrombosis
Increased warmth in affected area,Venous thrombosis
Altered skin color in affected area,Venous thrombosis
Pain in affected area,Venous thrombosis
Nausea,Papilledema
Headaches,Papilledema
Transient loss of vision,Papilledema
Reduced field of vision,Papilledema
Burning skin,Lion's mane jellyfish poisoning
Muscle cramps,Lion's mane jellyfish poisoning
Localized redness,Lion's mane jellyfish poisoning
Breathing difficulties,Lion's mane jellyfish poisoning
Intense localized pain,Lion's mane jellyfish poisoning
Skin blistering,Lion's mane jellyfish poisoning
Coma,Chemical poisoning -- di-n-octyl phathalate
Reduced blood pressure,Chemical poisoning -- di-n-octyl phathalate
Gastrointestinal irritation,Chemical poisoning -- di-n-octyl phathalate
Eye irritation,Chemical poisoning -- di-n-octyl phathalate
Cns depression,Chemical poisoning -- di-n-octyl phathalate
Mucous membrane irritation,Chemical poisoning -- di-n-octyl phathalate
Cough,Follicular dendritic cell sarcoma
Enlarge lymph nodes,Follicular dendritic cell sarcoma
Neck mass,Follicular dendritic cell sarcoma
Swallowing difficulties,Follicular dendritic cell sarcoma
Nausea,Chemical poisoning -- dichlorphenamide
Paresthesia,Chemical poisoning -- dichlorphenamide
Ringing in ears,Chemical poisoning -- dichlorphenamide
Shaking,Chemical poisoning -- dichlorphenamide
Dizziness,Chemical poisoning -- dichlorphenamide
Reduced appetite,Chemical poisoning -- dichlorphenamide
Nausea,Chemical poisoning -- dichloronaphthoquinone
Skin irritation,Chemical poisoning -- dichloronaphthoquinone
Eye irritation,Chemical poisoning -- dichloronaphthoquinone
Cns depression,Chemical poisoning -- dichloronaphthoquinone
Mucous membrane irritation,Chemical poisoning -- dichloronaphthoquinone
Cough,Chemical poisoning -- dibromochloromethane
Confusion,Chemical poisoning -- dibromochloromethane
Shortness of breath,Chemical poisoning -- dibromochloromethane
Labored breathing,Chemical poisoning -- dibromochloromethane
Reduced anxiety brought on by collecting books,Bibliomania
Unnecessarily large collection of books,Bibliomania
Obsessive collection of books,Bibliomania
Collects an abnormal amount of books,Bibliomania
Feelings of relief upon collecting books,Bibliomania
Cough,Chemical poisoning -- methane
Frostbit on contact with liquid,Chemical poisoning -- methane
Blurred vision,Chemical poisoning -- methane
Cns depression,Chemical poisoning -- methane
Rapid breathing,Chemical poisoning -- methane
Suffocation,Chemical poisoning -- methane
Camptodactyly,Goodman camptodactyly
Congenital heart malformations,Goodman camptodactyly
Abnormal curvature of digits,Goodman camptodactyly
Ulnar deviation,Goodman camptodactyly
Easy bruising,"Blood coagulation disorders, inherited"
Thrombosis,"Blood coagulation disorders, inherited"
Abnormal blood clotting,"Blood coagulation disorders, inherited"
Excessive bleeding,"Blood coagulation disorders, inherited"
Small head,Achalasia microcephaly
Cardiospasm,Achalasia microcephaly
Intellectual deficits,Achalasia microcephaly
Enlarged esophagus,Achalasia microcephaly
Recurring vomiting,Achalasia microcephaly
Impaired peristalsis,Achalasia microcephaly
Gamma-glutamylcysteine synthetase deficiency,Glutamate-cysteine ligase deficiency
Glutathione deficiency,Glutamate-cysteine ligase deficiency
Peripheral neuropaty,Glutamate-cysteine ligase deficiency
Hemolytic anemia,Glutamate-cysteine ligase deficiency
Sensitivity to light,Vaccinia keratitis
Eye pain,Vaccinia keratitis
Watering eyes,Vaccinia keratitis
Red eyes,Vaccinia keratitis
Corneal lesions,Vaccinia keratitis
Itchy eyes,Vaccinia keratitis
Abdominal tenderness,Toxic megacolon
Abdominal bloating,Toxic megacolon
Dilated colon,Toxic megacolon
Abdominal pain,Toxic megacolon
Fever,Toxic megacolon
Smooth pebbled brain surface appearance,Lissencephaly type 2
Underdeveloped brain - cerebellum,Lissencephaly type 2
Underdeveloped brainstem,Lissencephaly type 2
Enlarged ventricles,Lissencephaly type 2
Absent corpus callosum,Lissencephaly type 2
Mild increase in blood lactic acid levels,"Pyruvate carboxylase deficiency, group c"
Increased pyruvate level,"Pyruvate carboxylase deficiency, group c"
Intermittent hypoglycemia,"Pyruvate carboxylase deficiency, group c"
Ketosis,"Pyruvate carboxylase deficiency, group c"
Nausea,Annular pancreas
Excess amniotic fluid during pregnancy,Annular pancreas
Fullness following eating,Annular pancreas
Infant feeding problems,Annular pancreas
Skin pustules,Iga pemphigus
Reddened skin,Iga pemphigus
Skin erosions,Iga pemphigus
Itching,Iga pemphigus
Small head,Therapeutic radiation -- teratogenic agent
Impaired brain development,Therapeutic radiation -- teratogenic agent
Childhood leukemia,Therapeutic radiation -- teratogenic agent
Retarded growth,Therapeutic radiation -- teratogenic agent
Retarded development,Therapeutic radiation -- teratogenic agent
Underdeveloped limbs,Declomycin -- teratogenic agent
Extra digits,Declomycin -- teratogenic agent
Limb reduction defects,Declomycin -- teratogenic agent
Heart defect,Declomycin -- teratogenic agent
Hypospadias,Declomycin -- teratogenic agent
Clubfoot,Declomycin -- teratogenic agent
Underdeveloped limbs,Declostatin -- teratogenic agent
Extra digits,Declostatin -- teratogenic agent
Limb reduction defects,Declostatin -- teratogenic agent
Heart defect,Declostatin -- teratogenic agent
Hypospadias,Declostatin -- teratogenic agent
Clubfoot,Declostatin -- teratogenic agent
Short fingers,Brachydactyly -- dwarfism -- mental retardation
Small head,Brachydactyly -- dwarfism -- mental retardation
Hearing loss,Brachydactyly -- dwarfism -- mental retardation
Dwarfism,Brachydactyly -- dwarfism -- mental retardation
Mental retardation,Brachydactyly -- dwarfism -- mental retardation
Abnormal blue cone electroretinogram,Tritanopia
Impaired yellow vision,Tritanopia
Impaired blue vision,Tritanopia
Normal red and green vision,Tritanopia
Aversion to bright lights,"Macular dystrophy, retinal, 1, north carolina type"
Changes in macula,"Macular dystrophy, retinal, 1, north carolina type"
Foveal changes,"Macular dystrophy, retinal, 1, north carolina type"
Blurred vision,"Macular dystrophy, retinal, 1, north carolina type"
Reduced visual acuity,"Macular dystrophy, retinal, 1, north carolina type"
Nystagmus,"Macular dystrophy, retinal, 1, north carolina type"
Systolic murmurs,Twisted atrioventricular connections
Heart twisted along longitudinal axis,Twisted atrioventricular connections
Heart defect,Twisted atrioventricular connections
Cyanosis,Twisted atrioventricular connections
Extra digits,Heparin -- teratogenic agent
Retarded fetal growth,Heparin -- teratogenic agent
Heart defect,Heparin -- teratogenic agent
Hypospadias,Heparin -- teratogenic agent
Flank pain,Renal mucormycosis
Chills,Renal mucormycosis
Urination pain,Renal mucormycosis
Fever,Renal mucormycosis
Enlarged kidneys,Renal mucormycosis
Blood in urine,Renal mucormycosis
Dementia,"Cerebral amyloid angiopathy, familial"
Brain hemorrhages,"Cerebral amyloid angiopathy, familial"
Spastic paralysis,"Cerebral amyloid angiopathy, familial"
Ataxia,"Cerebral amyloid angiopathy, familial"
Strokes,"Cerebral amyloid angiopathy, familial"
Short statures,Empty sella syndrome
Increased bone density,Empty sella syndrome
Headaches,Empty sella syndrome
Vision problems,Empty sella syndrome
Unusual facial features,Empty sella syndrome
Bronze diabetes,Hematochromatosis
Cardiac enlargement,Hematochromatosis
Severe fatigue,Hematochromatosis
Impotence,Hematochromatosis
Liver cirrhosis,Hematochromatosis
Arthralgias,Hematochromatosis
Malabsorption,Celiac disease -- epilepsy -- occipital calcifications
Gastrointestinal tract abnormalities,Celiac disease -- epilepsy -- occipital calcifications
Celiac disease,Celiac disease -- epilepsy -- occipital calcifications
Impaired vision,Celiac disease -- epilepsy -- occipital calcifications
Seizures,Celiac disease -- epilepsy -- occipital calcifications
Cerebral calcifications,Celiac disease -- epilepsy -- occipital calcifications
